cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
7,41.76046899,-87.64852625,2,D,1018,23,73,107,1,59,12,329,356,19,39
7,41.76251102,-87.64538642,4,N,950,10,30,164,1,45,6,264,357,15,58
7,41.78812925,-87.7198911,1,N,647,8,31,90,0,40,7,236,168,22,45
7,41.88003976,-87.70337757,8,N,1536,31,54,222,0,60,12,451,590,29,87
7,41.88157501,-87.70732421,9,N,1494,45,38,219,0,74,10,415,585,36,72
7,41.91127184,-87.74897711,5,D,1352,36,114,140,3,90,7,395,490,43,34
7,41.91325818,-87.74861556,7,N,1293,27,38,190,0,68,5,389,442,42,92
7,41.91938362,-87.74885622,9,D,1312,31,119,130,5,94,8,411,458,29,27
7,41.92127958,-87.7550952,11,D,1347,33,112,144,1,115,10,439,441,28,24
7,41.92350091,-87.75957745,7,D,1343,26,110,173,2,104,5,442,417,27,37
7,41.92369887,-87.66994651,4,D,1027,4,111,123,0,40,5,555,178,7,4
7,41.92386887,-87.75533136,10,D,1422,28,128,177,1,115,1,443,474,31,24
7,41.92771798,-87.67245751,3,N,812,5,45,106,1,31,8,408,185,13,10
7,41.94008235,-87.75338496,2,N,832,37,52,117,2,66,3,293,212,20,30
7,41.97416382,-87.67822844,3,D,1383,8,175,149,4,89,9,577,331,32,9
7,41.97421877,-87.67782971,5,N,1151,7,65,183,5,55,6,472,328,20,10
7,41.9747566,-87.67561718,12,D,1444,11,128,190,0,70,6,677,335,20,7
7,41.97484641,-87.67240121,8,D,1574,13,192,160,4,70,8,727,375,16,9
8,41.69264657,-87.63099042,6,N,701,7,19,144,0,29,4,228,215,16,39
8,41.69378499,-87.63698351,2,D,678,13,53,91,0,42,5,221,199,18,36
8,41.69579365,-87.63848244,4,N,664,6,29,130,0,37,3,211,204,11,33
8,41.70096558,-87.63137113,11,D,897,18,49,114,0,75,8,284,301,19,29
8,41.70156288,-87.63106103,12,D,903,16,63,105,0,67,6,305,290,22,29
8,41.76089376,-87.64591302,5,N,1109,19,23,176,1,52,6,327,380,24,101
8,41.76812055,-87.66193939,10,D,1282,23,82,165,2,95,11,392,442,29,41
